file;time;index;openmp;nbVms
large.mnt;309.145803;0;0;1
large.mnt;106.030185;0;1;1
large.mnt;54.130846;0;1;2
large.mnt;28.598564;0;1;6
medium.mnt;28.198199;0;0;1
medium.mnt;10.571387;0;1;1
medium.mnt;5.767437;0;1;2
medium.mnt;3.711414;0;1;6
mini.mnt;0.000063;0;0;1
mini.mnt;0.000255;0;1;1
mini.mnt;0.004018;0;1;2
mini.mnt;0.043216;0;1;6
small.mnt;0.128720;0;0;1
small.mnt;0.043019;0;1;1
small.mnt;0.065124;0;1;2
small.mnt;0.592251;0;1;6
large.mnt;305.844358;1;0;1
large.mnt;102.704372;1;1;1
large.mnt;54.103002;1;1;2
large.mnt;28.676503;1;1;6
medium.mnt;27.950556;1;0;1
medium.mnt;10.792345;1;1;1
medium.mnt;5.379527;1;1;2
medium.mnt;3.684481;1;1;6
mini.mnt;0.000052;1;0;1
mini.mnt;0.000176;1;1;1
mini.mnt;0.004169;1;1;2
mini.mnt;0.083850;1;1;6
small.mnt;0.136948;1;0;1
small.mnt;0.042106;1;1;1
small.mnt;0.062805;1;1;2
small.mnt;0.185940;1;1;6
large.mnt;306.983265;2;0;1
large.mnt;105.064466;2;1;1
large.mnt;54.156847;2;1;2
large.mnt;28.902154;2;1;6
medium.mnt;28.177648;2;0;1
medium.mnt;10.468110;2;1;1
medium.mnt;5.655390;2;1;2
medium.mnt;4.190240;2;1;6
mini.mnt;0.000063;2;0;1
mini.mnt;0.000241;2;1;1
mini.mnt;0.004748;2;1;2
mini.mnt;0.140007;2;1;6
small.mnt;0.128324;2;0;1
small.mnt;0.046819;2;1;1
small.mnt;0.057370;2;1;2
small.mnt;0.263369;2;1;6
large.mnt;305.358103;3;0;1
large.mnt;106.329360;3;1;1
large.mnt;53.852964;3;1;2
large.mnt;28.343069;3;1;6
medium.mnt;28.240635;3;0;1
medium.mnt;10.724121;3;1;1
medium.mnt;5.799786;3;1;2
medium.mnt;4.161739;3;1;6
mini.mnt;0.000070;3;0;1
mini.mnt;0.000238;3;1;1
mini.mnt;0.003767;3;1;2
mini.mnt;0.051971;3;1;6
small.mnt;0.134635;3;0;1
small.mnt;0.052392;3;1;1
small.mnt;0.066653;3;1;2
small.mnt;0.456357;3;1;6
